codigo, item, rubro, subrubro, deposito,stock,precioLista,fotos,talles,bordados
L-WW-BU-ST22,Buzo Standard Unisex Azul Marino 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00",,,
L-WW-BU-ST36,Buzo Standard Unisex Azul Marino 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00",,,
L-WW-BU-ST23,Buzo Standard Unisex Azul Marino 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00",,,
L-WW-BU-ST20,Buzo Standard Unisex Azul Marino L,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00",,,
L-WW-BU-ST19,Buzo Standard Unisex Azul Marino M,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,8,"$35,900.00",,,
L-WW-BU-ST18,Buzo Standard Unisex Azul Marino S,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00",,,
L-WW-BU-ST21,Buzo Standard Unisex Azul Marino XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00",,,
L-WW-BU-ST17,Buzo Standard Unisex Azul Marino XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00",,,
L-WW-BU-ST14,Buzo Standard Unisex Gris Melange 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,4,"$35,900.00",,,
L-WW-BU-ST35,Buzo Standard Unisex Gris Melange 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,1,"$35,900.00",,,
L-WW-BU-ST15,Buzo Standard Unisex Gris Melange 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00",,,
L-WW-BU-ST12,Buzo Standard Unisex Gris Melange L,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,4,"$35,900.00",,,
L-WW-BU-ST11,Buzo Standard Unisex Gris Melange M,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00",,,
L-WW-BU-ST10,Buzo Standard Unisex Gris Melange S,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00",,,
L-WW-BU-ST13,Buzo Standard Unisex Gris Melange XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00",,,
L-WW-BU-ST9,Buzo Standard Unisex Gris Melange XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00",,,
L-WW-BU-ST6,Buzo Standard Unisex Gris topo 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00",,,
L-WW-BU-ST34,Buzo Standard Unisex Gris topo 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00",,,
L-WW-BU-ST7,Buzo Standard Unisex Gris topo 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00",,,
L-WW-BU-ST4,Buzo Standard Unisex Gris topo L,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00",,,
L-WW-BU-ST3,Buzo Standard Unisex Gris topo M,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,4,"$35,900.00",,,
L-WW-BU-ST2,Buzo Standard Unisex Gris topo S,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00",,,
L-WW-BU-ST5,Buzo Standard Unisex Gris topo XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00",,,
L-WW-BU-ST1,Buzo Standard Unisex Gris topo XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00",,,
L-WW-BU-ST30,Buzo Standard Unisex Negro 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00",,,
L-WW-BU-ST33,Buzo Standard Unisex Negro 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00",,,
L-WW-BU-ST31,Buzo Standard Unisex Negro 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00",,,
