codigo,item,rubro,subrubro,deposito,stock,precioLista,precioTransfer,precioSImp,precio3cuotas,fotos,talles,bordados,descripcion,textiles
L-WW-BU-ST22,Buzo Standard Unisex Azul Marino 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST36,Buzo Standard Unisex Azul Marino 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST23,Buzo Standard Unisex Azul Marino 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST20,Buzo Standard Unisex Azul Marino L,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST19,Buzo Standard Unisex Azul Marino M,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,8,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST18,Buzo Standard Unisex Azul Marino S,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST21,Buzo Standard Unisex Azul Marino XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST17,Buzo Standard Unisex Azul Marino XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-azulmarino-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST14,Buzo Standard Unisex Gris Melange 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,4,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST35,Buzo Standard Unisex Gris Melange 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,1,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
